No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part
1	4	4.7uF	C1,C9,C14,C15	C0603	4.7uF	GRM188Z71C475KE21D	muRata(村田)	C389010
2	9	100nF	C2,C3,C4,C5,C10,C11,C20,C22,C29	C0402	100nF	CC0402KRX7R6BB104	YAGEO(国巨)	C309458
3	6	1uF	C6,C12,C13,C21,C25,C26	C0603	1uF	CL10B105KP8NNNC	SAMSUNG(三星)	C95843
4	2	15pF	C7,C8	C0402	15pF	GRM1555C1H150JA01D	muRata(村田)	C76950
5	5	10uF	C16,C17,C18,C19,C23	C0603	10uF	GRM188Z71A106KA73D	muRata(村田)	C2959727
6	1	2.2nF	C24	C0402	2.2nF	CC0402JRX7R9BB222	YAGEO(国巨)	C513667
7	2	220pF	C27,C28	C0402	220pF	CC0402FRNPO9BN221	YAGEO(国巨)	C326765
8	1	ESDA7P60-1U1M	D1	DFN1610-2L_L1.6-W1.0-P1.10-RD		ESDA7P60-1U1M	TECH PUBLIC(台舟)	C7202956
9	1	USBLC6-2P6	D2	SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL		USBLC6-2P6	TECH PUBLIC(台舟)	C2827693
10	1	BLM15PX601SN1D	FB1	L0402		BLM15PX601SN1D	muRata(村田)	C160977
11	2	MPZ1608S101ATAH0	FB2,FB3	L0603		MPZ1608S101ATAH0	TDK	C107332
12	1	TYPE-C-31-M-12	J1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	韩国韩荣	C165948
13	2	532610271	J2,J3	CONN-SMD_532610271		532610271	MOLEX	C189700
14	1	470nH	L1	IND-SMD_L4.4-W4.2_SPM4020T	470nH	SPM4020T-R47M-LR	TDK	C695602
15	1	S8050/J3Y/0.4	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		S8050/J3Y/0.4	MOT(仁懋)	C5143141
16	13	10kΩ	R1,R2,R3,R8,R9,R15,R18,R19,R20,R25,R26,R28,R30	R0402	10kΩ	RT0402BRD0710KL	YAGEO(国巨)	C190095
17	2	33kΩ	R4,R12	R0402	33kΩ	RC0402FR-0733KL	YAGEO(国巨)	C138003
18	2	82kΩ	R5,R13	R0402	82kΩ	RC0402FR-0782KL	YAGEO(国巨)	C137932
19	3	5.1kΩ	R6,R7,R11	R0402	5.1kΩ	RC0402FR-075K1L	YAGEO(国巨)	C105872
20	2	3.3kΩ	R10,R24	R0402	3.3kΩ	RC0402FR-073K3L	YAGEO(国巨)	C137992
21	1	56kΩ	R14	R0402	56kΩ	RC0402FR-0756KL	YAGEO(国巨)	C114756
22	1	0Ω	R16	R0603	0Ω	RC0603FR-070RL	YAGEO(国巨)	C100044
23	3	100kΩ	R17,R21,R23	R0402	100kΩ	RC0402FR-07100KL	YAGEO(国巨)	C60491
24	2	1kΩ	R22,R27	R0402	1kΩ	RC0402FR-071KL	YAGEO(国巨)	C106235
25	1	10Ω	R29	R0805	10Ω	RC0805FR-0710RL	YAGEO(国巨)	C96347
26	2	EVQPLMA15	SW1,SW2	KEY-SMD_6P-L4.9-4.9-P3.70		EVQPLMA15	PANASONIC(松下)	C128538
27	1	EVQP7C01P	SW3	SW-SMD_EVQP7C01P		EVQP7C01P	PANASONIC(松下)	C388883
28	4	KAN0444-0201B/102	SW4,SW5,SW6,SW7	SW-SMD_KAN0444-0201B-102		KAN0444-0201B/102	GANGYUAN(港源)	C231644
29	1	SKRHABE010	SW8	SW-SMD_SKRHABE010		SKRHABE010	ALPSALPINE(阿尔卑斯阿尔派)	C139794
30	1	STM32F411CEU6	U1	UFQFPN-48_L7.0-W7.0-P0.50-BL-EP		STM32F411CEU6	ST(意法半导体)	C60420
31	1	8MHz	U2	CRYSTAL-SMD_4P-L3.2-W2.5-BL	8MHz	X32258MOB4SI	YXC(扬兴晶振)	C2682775
32	1	W25Q128JVPIQ	U3	WSON-8_L5.0-W6.0-P1.27-BL-EP		W25Q128JVPIQ	Winbond(华邦)	C2803379
33	1	BQ24075RGTR	U4	QFN-16_L3.0-W3.0-P0.50-TL-EP1.7		BQ24075RGTR	TI(德州仪器)	C15464
34	1	TPS22919DCKR	U5	SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR		TPS22919DCKR	TI(德州仪器)	C2149796
35	1	TPS63802DLAR	U6	VSON-10_L3.0-W2.0-P0.50-TL		TPS63802DLAR	TI(德州仪器)	C2845237
36	1	ATTINY13A-SSU	U7	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL		ATTINY13A-SSU	MICROCHIP(美国微芯)	C14075
37	1	PAM8302AASCR	U8	MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL		PAM8302AASCR	DIODES(美台)	C113367
38	1	ST7735S_14PIN	U9	NSP_TFT_1.77_128160_ST7735S_14PIN				
